ZIP Code,School ID,Safety Score,Environment Score,Instruction Score,Rate of Misconducts (per 100 students) ,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,College Enrollment (number of students) ,General Services Route ,RCDTS Code,X_COORDINATE,Y_COORDINATE,Latitude,Longitude,Community Area Number,Ward,Police District
60605,609834.0,88.0,49.0,51.5,8.6,54.2,48.8,1.0,1.5,833.0,38.0,150000000000000.0,1176301.616,1896239.1775000002,41.87063766,-87.628203105,32.5,2.0,1.0
60607,610000.25,83.25,53.5,52.0,1.25,68.4,58.75,-0.15,-0.05000000000000002,1028.0,38.0,150000000000000.0,1167766.3742499999,1898060.5242499998,41.8758236375,-87.65948635,28.0,14.0,12.0
60608,610024.6666666666,46.625,45.8125,44.25,21.08333333333333,12.423529411764704,9.370588235294118,-0.1411764705882353,0.21176470588235297,527.6666666666666,39.0,150000000000000.0,1165217.388777778,1889748.4251111113,41.853068175000004,-87.66908152777779,35.22222222222222,20.444444444444443,10.944444444444445
60609,610069.3913043478,41.095238095238095,45.76190476190476,45.95238095238095,27.482608695652175,13.568421052631576,8.03157894736842,0.3578947368421053,-0.4526315789473685,535.6086956521739,41.78260869565217,150000000000000.0,1169719.6222173912,1874095.096826087,41.810016794782605,-87.65301207956522,54.52173913043478,11.956521739130435,8.08695652173913
60610,610078.7142857143,68.4,61.0,53.2,16.485714285714284,38.199999999999996,35.266666666666666,0.5799999999999998,0.24,480.2857142857143,33.0,150000000000000.0,1173816.2192857144,1908223.2957142857,41.90357835571429,-87.63697085571427,8.0,33.714285714285715,18.0
60612,610110.5,52.27777777777778,55.5,59.55555555555556,17.245,21.420000000000005,13.740000000000002,1.1400000000000001,0.2799999999999999,354.25,36.9,150000000000000.0,1159382.79455,1899319.8587500001,41.8794554085,-87.69023275549999,27.15,13.25,12.05
60613,610068.875,70.0,59.714285714285715,55.142857142857146,7.4875,31.428571428571427,25.22857142857143,0.2857142857142857,0.2571428571428571,807.375,32.625,150000000000000.0,1167566.5441250002,1927047.166875,41.955368615,-87.65938371249999,5.25,45.875,19.0
60614,609981.8571428572,81.83333333333333,53.0,50.5,15.614285714285716,43.01666666666667,36.96666666666667,0.2833333333333334,0.46666666666666673,802.1428571428571,33.285714285714285,150000000000000.0,1170320.5255714285,1914833.011428571,41.921792614285714,-87.64961812142857,7.0,39.857142857142854,18.285714285714285
60615,610072.2727272727,42.36363636363637,38.54545454545455,43.36363636363637,23.527272727272727,20.833333333333332,14.188888888888888,-0.5222222222222223,-0.4555555555555556,501.6363636363636,43.81818181818182,150000000000000.0,1182395.6405454546,1871433.6149090908,41.802429309090904,-87.60660081545456,39.27272727272727,3.6363636363636362,2.0
60616,610060.4615384615,53.45454545454545,45.45454545454545,46.63636363636363,21.646153846153847,29.027272727272734,22.272727272727277,0.15000000000000005,0.8399999999999999,506.6923076923077,40.0,150000000000000.0,1176888.435,1886143.5196923078,41.84292086538461,-87.62635435384617,38.38461538461539,6.538461538461538,3.6923076923076925
60617,610030.8636363636,39.36363636363637,42.40909090909091,43.22727272727273,28.531818181818185,14.51052631578947,10.757894736842108,0.015789473684210523,-0.08947368421052632,601.6818181818181,47.0,150000000000000.0,1195995.4413181818,1842755.1006363633,41.72340667454545,-87.55767611454547,48.54545454545455,8.727272727272727,4.0
60618,610079.2666666667,67.64285714285714,54.07142857142857,45.714285714285715,7.426666666666667,26.133333333333336,20.06666666666667,-0.20000000000000004,0.11666666666666665,940.8,31.666666666666668,150000000000000.0,1156003.3564000002,1923798.2379333333,41.946694472666664,-87.70198032666666,12.933333333333334,36.13333333333333,17.6
60619,610058.8823529412,42.6,43.86666666666667,48.06666666666667,22.094117647058823,16.08125,13.825,0.2125,0.11250000000000002,440.88235294117646,46.05882352941177,150000000000000.0,1183008.9662941175,1850042.8170588235,41.74371664647059,-87.60501592352942,52.294117647058826,6.588235294117647,4.823529411764706
60620,610009.0555555555,42.411764705882355,44.0,49.705882352941174,23.988888888888887,17.488235294117647,15.658823529411764,0.14705882352941177,0.035294117647058774,472.55555555555554,46.166666666666664,150000000000000.0,1171174.5295555557,1848941.7580555556,41.74096165555556,-87.64840991888887,65.44444444444444,19.944444444444443,10.444444444444445
60621,610127.7777777778,33.77777777777778,46.5,49.72222222222222,35.53333333333333,12.126666666666665,6.866666666666666,0.5533333333333333,0.12666666666666673,389.6666666666667,44.833333333333336,150000000000000.0,1172697.666888889,1861293.141222222,41.77482273666667,-87.64246574500002,68.05555555555556,13.666666666666666,7.0
60622,610104.7777777778,59.94444444444444,48.05555555555556,46.77777777777778,25.072222222222223,25.300000000000004,21.0625,0.1375,0.3375,495.3888888888889,34.833333333333336,150000000000000.0,1162751.211111111,1907797.853388889,41.90264977500001,-87.67762702666666,23.88888888888889,13.277777777777779,13.444444444444445
60623,610116.4857142858,48.41935483870968,53.38709677419355,53.87096774193548,18.528571428571432,11.200000000000005,7.423076923076924,-0.212,-0.05600000000000002,550.2857142857143,37.142857142857146,150000000000000.0,1152477.2652285714,1888419.3708857142,41.84968225885714,-87.71587651057142,29.62857142857143,21.37142857142857,10.0
