,Unit#,SchoolID,School Name,2011,2012,2013,2014
82,1936,400057.0,NOBLE ST CHTR-UIC,,33.37380952380952,13.5,14.2
83,1140,609691.0,NORTH-GRAND HS,26.5,32.7,18.3,17.2
84,1690,609744.0,NORTHSIDE LEARNING HS,17.8,3.8,5.0,0.0
85,1740,609749.0,NORTHSIDE PREP HS,2.0,1.7,2.3,1.5
86,1105,400058.0,NTH LAWNDALE CHTR-CHRISTIANA,25.0,15.2,18.9,21.3
87,1106,400059.0,NTH LAWNDALE CHTR-COLLINS,,19.0,28.5,20.9
88,8083,610529.0,OGDEN HS,,33.37380952380952,29.399224806201552,26.4
89,1830,610389.0,ORR HS,,33.37380952380952,52.9,47.9
90,1090,609680.0,PAYTON HS,2.5,9.1,6.1,4.5
91,1961,400061.0,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,26.9,30.3,31.0,33.5
92,1962,400062.0,PERSPECTIVES CHTR CALUMET TECH,,29.5,27.5,28.9
93,1964,400066.0,PERSPECTIVES CHTR IIT,,33.37380952380952,20.8,28.8
94,1960,400064.0,PERSPECTIVES CHTR JOSLIN,11.1,15.7,18.2,9.3
95,1510,609727.0,PHILLIPS HS,54.4,52.1,44.2,42.7
96,7310,610304.0,PHOENIX MILITARY HS,23.0,21.2,15.4,10.2
97,1070,609679.0,PROSSER HS,19.3,16.3,12.0,11.4
98,7690,610334.0,RABY HS,23.3,26.2,22.0,15.9
99,1110,609682.0,RICHARDS HS,40.4,31.3,26.1,25.5
100,7140,610390.0,RICKOVER HS,31.5,27.9,23.2,17.9
101,1320,609707.0,ROBESON HS,56.5,51.0,52.7,46.9
102,1520,609728.0,ROOSEVELT HS,36.2,40.6,34.4,34.1
103,7230,610297.0,SCHOOL OF LEADRSHP HS,59.0,53.7,51.5,41.7
104,1530,609729.0,SCHURZ HS,34.3,32.2,26.0,21.9
105,1540,609730.0,SENN HS,57.1,47.5,43.0,40.2
106,5820,610167.0,SEWARD,,33.37380952380952,29.399224806201552,26.19928571428571
107,4140,400073.0,SHABAZZ CHTR-DUSABLE,32.6,33.0,28.4,18.3
108,1150,609692.0,SIMEON HS,22.4,24.1,18.8,17.0
109,1700,609745.0,SOUTHSIDE HS,19.6,19.1,29.399224806201552,43.2
110,7930,610357.0,SPRY HS,26.3,6.5,12.1,13.3
111,1560,609732.0,STEINMETZ COLLEGE PREP HS,40.9,38.6,33.4,27.8
112,1570,609733.0,SULLIVAN HS,55.6,50.0,40.8,41.3
113,1580,609734.0,TAFT HS,29.7,23.5,17.8,12.9
114,8080,610506.0,TEAM HS,,20.2,16.5,21.5
115,1590,609735.0,TILDEN HS,55.8,61.9,42.8,40.0
116,3061,400077.0,UNIV OF CHGO CHTR-WOODLAWN,24.8,27.5,25.7,16.1
117,3343,400085.0,UNO CHTR - MAJOR HECTOR P.GARCIA,,33.37380952380952,16.7,10.2
118,2210,610394.0,UPLIFT HS,32.0,27.5,11.8,15.0
119,8096,400102.0,URBAN PREP CHTR - WEST,,33.37380952380952,29.399224806201552,29.4
120,7030,400086.0,URBAN PREP CHTR-ENGLEWOOD,35.4,30.6,33.7,34.7
121,1920,609766.0,VAUGHN HS,14.3,19.1,20.5,10.9
122,1145,610518.0,VOISE HS,,33.37380952380952,25.9,39.1
123,1610,609737.0,VON STEUBEN HS,11.1,9.8,8.5,4.5
124,1630,609739.0,WASHINGTON HS,26.3,25.7,20.5,21.7
125,1640,609740.0,WELLS HS,37.6,39.5,43.1,33.1
126,7200,610380.0,"WILLIAMS, D",,11.3,8.0,5.5
127,4460,610392.0,WORLD LANGUAGE HS,24.7,28.2,14.9,20.0
128,2490,400087.0,YNG WOMEN-CHTR CAMPUS,23.9,19.0,27.8,23.7
129,1810,609755.0,YOUNG HS,5.9,6.4,4.2,4.5
130,7300,610303.0,AAST - ORR HS,49.3,58.1,29.399224806201552,26.19928571428571
131,1780,610444.0,ACORN CHTR,,33.37380952380952,29.399224806201552,26.19928571428571
