ZIP Code,Unnamed: 0,School ID,2012,2013,2014,2015,2016,years_average
60605,34.0,609678.0,1.9,1.6,0.2,0.8,0.7,1.04
60607,86.0,609755.0,0.8,0.8,0.9,0.9,0.3,0.74
60608,35.0,609764.0,6.8,4.6,3.2,3.7,4.1,4.4799999999999995
60609,46.333333333333336,609976.6666666666,9.533333333333333,8.433333333333332,7.7,5.3,6.099999999999999,7.413333333333332
60610,57.0,609680.0,2.1,0.9,0.6,0.4,0.7,0.9400000000000001
60612,71.25,610057.5,13.100000000000001,9.200000000000001,9.399999999999999,8.945026178010473,10.032894736842104,10.135584182970515
60613,42.0,609719.0,5.4,2.9,1.3,3.4,2.4,3.0800000000000005
60614,44.0,609738.0,4.7,3.1,2.8,1.8,1.8,2.8400000000000007
60615,55.0,610060.75,8.0,8.275,4.525,0.75,3.9664473684210524,5.103289473684209
60616,22.5,609722.5,7.4,3.7,4.25,5.8500000000000005,4.05,5.050000000000001
60617,32.666666666666664,609912.0,5.7,5.133333333333334,5.2,3.0,2.733333333333333,4.3533333333333335
60618,20.666666666666668,610215.3333333334,1.6333333333333335,1.1333333333333335,1.0666666666666667,2.5666666666666664,1.0999999999999999,1.5
60619,29.0,609712.0,18.0,26.3,27.2,23.7,12.9,21.62
60620,68.0,609692.0,5.1,3.5,2.5,1.5,0.7,2.6599999999999997
60621,56.666666666666664,609993.6666666666,13.033333333333333,8.633333333333333,12.066666666666668,9.166666666666666,9.3,10.440000000000001
60622,50.333333333333336,610009.3333333334,11.5,11.133333333333333,6.566666666666667,4.033333333333334,2.7000000000000006,7.186666666666667
60623,54.75,610329.875,5.075,3.7,5.286895161290323,5.947513089005236,4.958223684210527,4.993526386901217
60624,62.0,610034.75,12.350000000000001,11.100000000000001,8.05,9.45,6.949999999999999,9.580000000000002
60625,50.25,609727.25,5.35,3.1500000000000004,3.9,3.7750000000000004,3.4250000000000003,3.9200000000000004
60626,74.0,609733.0,13.0,13.4,14.1,7.5,5.7,10.74
60627,8.0,609760.0,1.1,2.4,1.5,1.8,0.6,1.48
60628,18.0,609725.5,12.149999999999999,7.300000000000001,6.35,6.375,7.4750000000000005,7.93
60629,27.0,609714.6666666666,10.3,6.233333333333334,6.5,3.8333333333333335,2.433333333333333,5.86
60631,75.0,609734.0,8.6,7.3,3.4,7.4,3.2,5.979999999999999
60632,41.333333333333336,610004.6666666666,8.833333333333334,3.733333333333334,4.033333333333333,2.966666666666667,3.266666666666667,4.566666666666667
60634,41.0,610036.0,9.85,6.1,5.65,4.45,2.6500000000000004,5.74
60636,48.0,609949.0,8.966666666666667,8.6,7.6000000000000005,4.1,7.866666666666666,7.426666666666667
60637,32.0,609713.0,16.0,14.3,8.2,4.7,4.5,9.540000000000001
60638,39.0,609718.0,12.8,11.8,12.3,6.2,6.9,10.000000000000002
60639,50.0,609695.3333333334,8.366666666666667,6.333333333333333,6.800000000000001,5.066666666666666,3.5666666666666664,6.026666666666666
60640,78.0,610394.0,4.2,7.6,4.3,1.9,5.1,4.62
60641,56.0,609734.3333333334,8.033333333333333,8.166666666666666,8.566666666666666,6.3999999999999995,6.5,7.533333333333333
60643,43.0,609743.5,10.899999999999999,3.8,7.2,5.6,4.95,6.49
60644,42.0,568305.2,9.120000000000001,6.5200000000000005,8.239999999999998,5.1,9.2,7.635999999999998
60647,47.0,609780.0,11.054605263157892,13.293406593406589,12.39516129032258,0.3,0.4,7.488634629377411
60649,93.0,610297.0,14.4,16.5,13.9,11.780104712041886,10.76578947368421,13.469178837145218
60652,4.0,609698.0,11.9,8.5,4.4,3.5,3.1,6.279999999999999
60653,36.666666666666664,609744.0,7.966666666666666,5.566666666666667,4.633333333333334,4.533333333333333,4.0,5.340000000000001
60655,10.0,609753.0,3.6,1.4,2.5,2.0,2.1,2.32
60659,51.0,609734.0,4.6,3.55,3.25,1.85,3.05,3.2599999999999993
60660,65.0,610060.0,8.05,3.7,2.1,2.05,2.05,3.59
